nombreUniversidad,sector,provincia,nombreCarrera,areaConocimiento,nivel,modalidad,duracionAnios,cantidadCarrerasVirtuales,cantidadAreas,porcentajeOfertaVirtual,observaciones,
Universidad de Palermo,Privada,Buenos Aires,Dirección de Comunicación (Programa conjunto con la Lic. en Publicidad y la Lic. en Relaciones Públicas),Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,Ofrece doble titulación,
Universidad de Palermo,Privada,Buenos Aires,Diseño de Ilustración,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diseño de Moda (Diseño Textil e Indumentaria),Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diseño de Música y Sonido (Programa conjunto con Lic. en Creación Sonora y Producción Digital),Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,Ofrece doble titulación,
Universidad de Palermo,Privada,Buenos Aires,Diseño Gráfico,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diseño Industrial,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Comunicación Audiovisual,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Comunicación Digital,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Creación Sonora,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Publicidad,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Relaciones Públicas,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Marketing de la Moda,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,3,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Producción de Modas,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,3,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Producción Musical,Facultad de Diseño y Comunicación,Grado,Distancia o Combinada ,3,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diseño (Ciclo de Complementación Curricular),Facultad de Diseño y Comunicación,Grado Complementario,Distancia o Combinada ,1,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Negocios de Diseño y Comunicación (Ciclo de Complementación Curricular),Facultad de Diseño y Comunicación,Grado Complementario,Distancia,1,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Doctorado en Diseño,Facultad de Diseño y Comunicación,Doctorado,Distancia o Combinada ,3-5,"""+50""",5,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Educación,Educación,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Educación Física,Educación,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Inglés,Educación,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Tecnología Educativa,Educación,Grado Complementario,Distancia,2,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Posgrado en Especialización y Gestión Estratégica de Proyectos Educativos,Educación,Posgrado,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Planificación y Gestión Estratégica de Proyectos Educativos,Educación,Posgrado,Distancia,1,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Psicopedagogía,Educación,Grado Complementario,Distancia,1,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Periodismo,Comunicación,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Diseño y Comunicación Transmedia,Comunicación,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Lic. en Comunicación Social,Comunicación,Grado  ,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Lic. en Gestión de la Comunicación Estratégica,Comunicación,Grado  ,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Lic. en Publicidad y Narrativas Digitales,Comunicación,Grado  ,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Higiene y Seguridad,Ingeniería,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Tecnicatura en Higiene y Seguridad en el Trabajo,Ingeniería,Pregrado,Distancia,"2,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Especialización en Informatica Forense,Ingeniería,Formación Complementaria,Distancia,9 meses,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Lic. en Ciberseguridad,Ingeniería,Grado,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Contador Público,Económicas,Grado,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Lic. en Recursos Humanos,Económicas,Grado,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Turismo,Económicas,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Marketing,Económicas,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Administración de Empresas,Económicas,Grado Complementario,Distancia o Combinada ,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Tecnicatura en Administración de PYMES,Económicas,Pregrado,Distancia,"2,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Gestión del Talento Humano,Económicas,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Desarrollo de Negocios Digitales,Económicas,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Educación Religiosa,Humanidades,Grado Complementario,Distancia,2,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Lic. en Pedagogía de la Educación Religiosa,Humanidades,Grado,Distancia,4,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Abogacía,Jurídicas y Sociales,Grado,Distancia,5,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Martillero y Corredor Público e Inmobiliario,Jurídicas y Sociales,Pregrado,Distancia,"2,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Archivología,Jurídicas y Sociales,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Seguridad Ciudadana,Jurídicas y Sociales,Grado Complementario,Distancia,2,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Ciclo de Lic. en Corretaje Inmobiliario,Jurídicas y Sociales,Grado Complementario,Distancia,"1,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Tecnicatura en Acompañamiento Terapéutico,Médicas,Pregrado,Distancia,"2,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Tecnicatura en Gastronomía,Escuela de la Hospitalidad,Pregrado,Distancia,1,35,8,,,
Universidad FASTA,Privada,Buenos Aires,Tecnicatura en Turismo,Escuela de la Hospitalidad,Pregrado,Distancia,"2,5",35,8,,,
Universidad FASTA,Privada,Buenos Aires,Tecnicautra en Hotelería,Escuela de la Hospitalidad,Pregrado,Distancia,"2,5",35,8,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Tecnicatura en Gestión de la Comunicación Turística,Ciencias de la Comunicación,Pregrado,Distancia,"2,5",12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Tecnicatura en Periodismo Deportivo,Ciencias de la Comunicación,Pregrado,Distancia,"2,5",12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Especialización en Didáctiva de las Lenguas Extranjeras,Lenguas,,Distancia,"1,5",12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Especializacion en Producción y Análisis de Información para Póliticas Públicas,Ciencias Sociales,Formación Complementaria,Distancia,2,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Especialización en Traducción Jurídica y Económica,Lenguas,Formación Complementaria,Distancia,2,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Especialización en Traducción Científica  y Técnica,Lenguas,Formación Complementaria,Distancia,2,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Especialización en Tecnologías Multimedia para Desarrollos Educativos,Ciencias Sociales,Formación Complementaria,Distancia,1,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Especialización en Gestión Cultural,Ciencias Sociales,Formación Complementaria,Distancia,"1,5",12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Maestría en Procesos Educativos Mediados por Tecnología,Ciencias Sociales,Posgrado,Distancia,2,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Maestría en Biotecnologías Reproductivas en Bovinos,Ciencias Agropecuarias,Posgrado,Distancia,2,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,"Maestía en Políticas Económicas, Sociales y Regionales",Ciencias Sociales,Posgrado,Distancia,2,12,4,,,
Universidad Nacional de Córdoba,Pública,Córdoba,Maestría en Administración Pública,Ciencias Sociales,Posgrado,Distancia,2,12,4,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Psicología,Facultad de Ciencias Sociales,Formación Complementaria,Combinada,4,"""+50""",5,,"Podés cursar en modalidad online el 1er., 2do. y 3er. año de la carrera.",
Universidad de Palermo,Privada,Buenos Aires,Maestría en Ciencias Sociales,Facultad de Ciencias Sociales,Formación Complementaria,Distancia o Combinada ,2,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Educación Superior,Facultad de Ciencias Sociales,Formación Complementaria,Distancia o Combinada ,2,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Doctorado en Educación Superior,Facultad de Ciencias Sociales,Doctorado,Distancia o Combinada ,1-3,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Doctorado en Derecho,Facultad de Derecho,Doctorado,Combinada,variable,"""+50""",5,,Podés cursar en modalidad online algunas materias del programa.,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Fotografía,Facultad de Diseño y Comunicación,Grado,Combinada,4,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Dirección Cinematográfica,Facultad de Diseño y Comunicación,Grado,Combinada,4,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Comunicación de Moda,Facultad de Diseño y Comunicación,Grado,Combinada,2,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Diseño Digital,Facultad de Diseño y Comunicación,Grado,Combinada,,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Diseño de Interiores,Facultad de Diseño y Comunicación,Grado,Combinada,4,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Organización de Eventos,Facultad de Diseño y Comunicación,Grado,Combinada,2 y medio,"""+50""",5,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Arquitectura,Facultad de Arquitectura,Grado,Combinada,5,"""+50""",5,,Podés cursar en modalidad online algunas materias del programa.,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Arte,Facultad de Diseño y Comunicación,Grado,Combinada,,"""+50""",5,,Podés cursar en modalidad online algunas materias del programa.,
Universidad de Palermo,Privada,Buenos Aires,Ciclo de Lic. en Redes y Comunicación de Datos,Facultad de Ingeniería,Grado Complementario,Combinada,2,"""+50""",5,,Podés cursar en modalidad online algunas materias del programa.,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Enseñanza de las Ciencias,Humanidades,Grado Complementario,Distancia,5 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Enseñanza de las Ciencias Sociales,Humanidades,Grado Complementario,Distancia,2 y medio,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Enseñanza de la Lengua y la Literatura,Humanidades,Grado Complementario,Distancia,5 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Artes,Humanidades,Grado Complementario,Distancia,5 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Educación Inicial,Humanidades,Grado Complementario,Distancia,5 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Educación Especial,Humanidades,Grado Complementario,Distancia,5 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Comunicación Audiovisual,Humanidades,Grado Complementario,Distancia,4 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Profesorado Universitario,Humanidades,Grado Complementario,Distancia,4 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Especialización en Enseñanza de las Ciencias Experimentales y Matemática,Humanidades,Formación Complementaria,Distancia,2 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Especialización en Literatura Infantil y Juvenil,Humanidades,Formación Complementaria,Distancia,3 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Maestría en Periodismo Narrativo,Humanidades,Formación Complementaria,Distancia,2,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Maestría en Educación,Humanidades,Posgrado,Distancia,4 cuatrimestres ,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Maestría en Cultura y Literatura en Lengua Inglesa,Humanidades,Posgrado,Distancia,4 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Maestría en Literatura Infantil y Juvenil,Humanidades,Formación Complementaria,Distancia,5 cuatrimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Licenciatura en Administración Pública,Política y Gobierno,Grado Complementario,Distancia,2,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Maestría en Estudios Electorales,Política y Gobierno,Posgrado,Distancia,2,18,3,,,
Universidad Nacional de San Martín,Pública,Buenos Aires,Maestría en Compras Públicas,Política y Gobierno,Posgrado,Distancia,5 trimestres,18,3,,,
Universidad Nacional de San Martín,Pública,Río Negro,Especialización en Gestión del Transporte Aerocomercial,Hábitat y Sostenibilidad,Formación Complementaria,Distancia,1 y medio,18,3,,,
Universidad Nacional de Río Negro,Pública,Río Negro,Ciclo de Licenciatura en Educación,Humanidades,Grado Complementario,Distancia,2,4,1,,,
Universidad Nacional de Río Negro,Pública,Río Negro,Ciclo de Licenciatura en Educación Inicial,Humanidades,Grado Complementario,Distancia,1 y medio,4,1,,,
Universidad Nacional de Río Negro,Pública,Río Negro,Ciclo de Licenciatura en Educación Primaria,Humanidades,Grado Complementario,Distancia,1 y medio,4,1,,,
Universidad Nacional de Río Negro,Pública,Río Negro,Ciclo de Licenciatura en Educación Física y Deporte,Humanidades,Grado Complementario,Distancia,2,4,1,,,
Fundación Barceló,Privada,La Rioja,Tec. Univ. en Análisis de Sist. de Inf. Médica,Informática,Pregrado,Combinada,2,14,3,,Presencial (con un 20% de formación a distancia),
Fundación Barceló,Privada,"Buenos Aires, La Rioja, Santo Tomé (Corrientes), CPU Posadas (Misiones).",Lic. en Nutrición,Ciencias de la Salud ,Grado,Distancia,4,14,3,,prácticas profesionales supervisadas (600 h) en los ámbitos externos que correspondan cercanos a las sedes institucionales elegidas al momento de la inscripción. ,
Fundación Barceló,Privada,"Buenos Aires, La Rioja, Santo Tomé (Corrientes) y Posadas (Misiones).",Lic. en Psicología,Ciencias Sociales,Grado,Distancia,4 y medio,14,3,,,
Fundación Barceló,Privada,"Ciudad de Buenos Aires, La Rioja, Santo Tomé (Corrientes), CPU Posadas (Misiones) y Caleta Olivia (Santa Cruz).",Lic. en Enfermería,Ciencias de la salud,Grado,Distancia,4,14,3,,prácticas Pre-Profesionales y Prácticas Integradas Supervisadas presenciales,
